Question,Answer,isCorrect
Nguyên nhân gây ra bệnh lang ben là gì?,Nguyên nhân chính gây ra lang ben là sự phát triển của nấm trong điều kiện ẩm ướt và nóng bức.,1
Những phương pháp điều trị nào được sử dụng để điều trị bệnh da do ánh sáng?,"Bệnh da do ánh sáng có thể được điều trị bằng kem chống nắng, thuốc kháng histamine và tránh tiếp xúc với ánh sáng mặt trời trực tiếp.",1
Nấm móng có thể gây ra biến chứng gì không?,"Nếu không được điều trị, nấm móng có thể dẫn đến nhiễm trùng nặng và ảnh hưởng đến sức khỏe tổng thể.",1
"Tôi bị tưa lưỡi, có phải là do nấm Candida không?","Có khả năng, vì sự thay đổi hormone trong kỳ kinh nguyệt có thể làm tăng nguy cơ nhiễm nấm Candida.",0
Chế độ ăn uống có ảnh hưởng đến quá trình chữa trị bệnh chốc lở không?,"Chế độ ăn uống không trực tiếp ảnh hưởng đến việc chữa khỏi bệnh chốc. Tuy nhiên, một chế độ ăn uống lành mạnh, đầy đủ dinh dưỡng có thể giúp cơ thể khỏe mạnh, tăng cường hệ miễn dịch, hỗ trợ quá trình hồi phục.",1
Bệnh giang mai có thể lây truyền qua những con đường nào?,Bệnh giang mai có thể lây truyền từ mẹ sang con trong quá trình mang thai hoặc khi sinh.,1
Sự khác biệt chính giữa ung thư tế bào đáy và ung thư tế bào vảy là gì?,"Ung thư tế bào đáy thường có hình dạng không đều, có thể có vảy, không lành và có dấu hiệu chảy máu hoặc loét. Mụn và nốt ruồi thường không có các dấu hiệu này và sẽ tự khỏi mà không gây loét hay biến chứng.",0
Những triệu chứng phổ biến của SJS là gì?,"Triệu chứng phổ biến nhất của bệnh phong là các mảng da mất sắc tố, thường xuất hiện ở những vùng da tiếp xúc trực tiếp với ánh sáng mặt trời như mặt, cổ, tay và vai.",0
"Herpes sinh dục có thể tái phát không? Nếu có, làm thế nào để giảm thiểu nguy cơ tái phát?",Điều trị herpes sinh dục kịp thời có thể giúp giảm nguy cơ tái phát trong tương lai.,1
Bệnh lậu không được điều trị có thể dẫn đến những biến chứng gì?,"Bệnh lậu không được điều trị có thể gây ra các biến chứng nghiêm trọng như viêm vùng chậu, vô sinh, và nhiễm trùng huyết.",1
Có biện pháp nào giúp phòng ngừa bệnh Zona không?,Tiêm vắc-xin Zona là biện pháp phòng ngừa hiệu quả nhất. Vắc-xin này được khuyến cáo cho người trên 50 tuổi hoặc những người có nguy cơ cao mắc bệnh để giảm nguy cơ mắc bệnh và mức độ nghiêm trọng của bệnh.,1
Làm sao để điều trị bệnh sẩn ngứa?,"Các phương pháp điều trị sẩn ngứa bao gồm sử dụng thuốc kháng histamin, corticosteroid và kem chống ngứa.",1
Yếu tố nào làm tăng nguy cơ mắc bệnh nấm da?,"Hệ miễn dịch yếu, trẻ em và tiếp xúc với môi trường ẩm ướt là những yếu tố làm tăng nguy cơ mắc bệnh da do nấm sợi.",1
Có bao nhiêu loại bệnh vảy nến chính và chúng khác nhau như thế nào về triệu chứng và vị trí xuất hiện?,"Các triệu chứng của bệnh vảy nến bao gồm các mảng da đỏ, có vảy bạc, thường xuất hiện ở khuỷu tay, đầu gối, lưng và móng tay.",0
Tôi bị rám má thì nên làm gì?,Bạn nên đến gặp bác sĩ da liễu để được tư vấn và điều trị phù hợp.,1
Các biến chứng thường gặp của bệnh lupus ban đỏ là gì và cách phòng ngừa chúng?,"Để phòng ngừa các biến chứng của bệnh lupus ban đỏ, bạn nên tuân thủ đúng phác đồ điều trị do bác sĩ chỉ định, duy trì chế độ ăn uống lành mạnh, tập thể dục thường xuyên và tránh tiếp xúc với ánh nắng mặt trời trực tiếp.",1
"Bác sĩ ơi tôi bị nấm ngứa vùng kín, có phải là do Candida không?","Có thể, ngứa và nóng rát là triệu chứng phổ biến của viêm âm đạo do Candida. Tuy nhiên, bạn cần đến bác sĩ để xác định chính xác nguyên nhân và có hướng điều trị phù hợp.",1
Triệu chứng phổ biến nhất của sarcoidosis là gì?,"Triệu chứng phổ biến nhất của sarcoidosis là phát ban da, thường xuất hiện ở mặt, tay và chân. Những triệu chứng này có thể thay đổi tùy theo mức độ nghiêm trọng của bệnh.",1
Những triệu chứng phổ biến nhất của viêm da cơ địa là gì?,"Triệu chứng phổ biến bao gồm ngứa, da khô, đỏ và có thể xuất hiện các mảng phát ban.",1
"Sự khác nhau giữa mụn đầu đen, mụn đầu trắng và mụn mủ là gì?","Mụn mủ thường và mụn mủ cụm (carbuncle) là dạng mụn mủ đơn thuần, khác với mụn mủ thông thường. Trong khi đó, mụn mủ thường kèm theo sưng tấy, đau dữ dội, có thể có mủ.",0
Vảy phấn hồng Gibert có lây lan qua đường tiếp xúc trực tiếp không?,"Vảy phấn hồng Gibert không lây lan qua tiếp xúc, vì nó không phải là bệnh truyền nhiễm.",1
Những đối tượng nào có nguy cơ cao mắc bệnh giang mai?,"Những người có quan hệ tình dục không an toàn, nhiều bạn tình hoặc có tiền sử mắc các bệnh lây truyền qua đường tình dục có nguy cơ cao mắc bệnh giang mai.",1
Bệnh vảy phấn đỏ nang lông có thể để lại sẹo không? Và làm thế nào để giảm thiểu nguy cơ để lại sẹo?,Điều trị bệnh vảy phấn đỏ nang lông kịp thời và đúng cách có thể giúp giảm nguy cơ hình thành sẹo.,1
Triệu chứng điển hình của bệnh vảy cá là gì và chúng khác nhau như thế nào giữa các thể bệnh?,"Vảy cá có thể bị nhầm lẫn với các bệnh da liễu khác như vẩy nến, eczema, hoặc viêm da dị ứng.",0
Triệu chứng ban đầu của bệnh sùi mào gà sinh dục thường là gì?,"Triệu chứng ban đầu của sùi mào gà sinh dục thường là những u nhú nhỏ, mềm, màu hồng hoặc đỏ, xuất hiện ở vùng sinh dục, hậu môn, hoặc miệng.",1
Làm thế nào để phòng ngừa bệnh Pellagra?,"Để phòng ngừa Pellagra, bạn cần đảm bảo chế độ ăn uống của mình có đủ vitamin B3, có trong các loại thực phẩm như thịt, cá và ngũ cốc.",1
Có cách nào để ngăn ngừa bệnh vảy nến hoặc làm giảm nguy cơ mắc bệnh này không?,"Không có cách nào để ngăn ngừa hoàn toàn bệnh vảy nến, nhưng bạn có thể giảm thiểu nguy cơ mắc bệnh bằng cách duy trì lối sống lành mạnh, tránh tiếp xúc với các chất kích ứng và quản lý căng thẳng.",1
Triệu chứng ban đầu của bệnh lupus ban đỏ thường gặp là gì?,"Triệu chứng ban đầu của lupus ban đỏ có thể bao gồm mệt mỏi, sốt nhẹ, đau khớp, và phát ban da, đặc biệt là phát ban hình cánh bướm trên mặt. Những triệu chứng này có thể thay đổi từ người này sang người khác.",1
Một số yếu tố nguy cơ nào làm tăng nguy cơ phát triển á vảy nến và vảy phấn dạng Lichen?,"Các yếu tố như căng thẳng, thay đổi hormone và sử dụng một số loại thuốc có thể làm tăng nguy cơ mắc á vảy nến.",1
Làm thế nào để phân biệt bệnh chốc lở với các bệnh da liễu khác có triệu chứng tương tự?,"Chỉ có bác sĩ mới có thể phân biệt bệnh chốc với các bệnh ngoài da khác dựa trên triệu chứng lâm sàng, tiền sử bệnh và kết quả xét nghiệm.",1
Kem bôi ngoài da nào được khuyến cáo sử dụng cho á vảy nến ở trẻ em?,"Ở trẻ em, việc sử dụng thuốc bôi corticosteroid cho trẻ cần sự hướng dẫn của bác sĩ. Bác sĩ sẽ lựa chọn loại thuốc phù hợp với tình trạng của trẻ.",1
Phương pháp chẩn đoán hồng ban đa dạng thường gặp là gì?,Chẩn đoán hồng ban đa dạng thường dựa trên triệu chứng lâm sàng và lịch sử bệnh; bác sĩ có thể yêu cầu xét nghiệm nếu cần.,1
